"Study_ID","AUC","Permutation","DEBIAS"
10959,0.531797235023041,0,1
10959,0.521023730565485,1,1
10959,0.512606055385675,1,1
10959,0.541829966837504,1,1
10959,0.510254532925621,1,1
10959,0.513682759808777,1,1
10959,0.532281752013437,1,1
10959,0.517367242344632,1,1
10959,0.551755028209656,1,1
10959,0.489372927343986,1,1
10959,0.525500667556742,1,1
10959,0.491737370257117,1,1
10959,0.513107799646841,1,1
10959,0.506951203755545,1,1
10959,0.504207760885482,1,1
10959,0.507351737800939,1,1
10959,0.52915500236875,1,1
10959,0.509744175029071,1,1
10959,0.511906197510659,1,1
10959,0.50575175502821,1,1
10959,0.52707911624101,1,1
10959,0.509526680735604,1,1
10959,0.501699039579655,1,1
10959,0.524910633532883,1,1
10959,0.50071493173694,1,1
10959,0.511975106593738,1,1
10959,0.528959042163745,1,1
10959,0.516710452646539,1,1
10959,0.496481329945303,1,1
10959,0.51517291873035,1,1
10959,0.524249537017098,1,1
10959,0.469832895473535,1,1
10959,0.504694431284724,1,1
10959,0.503133209871226,1,1
10959,0.524012662044016,1,1
10959,0.542124983849434,1,1
10959,0.533399371204617,1,1
10959,0.512840776949912,1,1
10959,0.509918601145613,1,1
10959,0.506010164089754,1,1
10959,0.512644816744907,1,1
10959,0.50319350531892,1,1
10959,0.498572289934967,1,1
10959,0.536129893621603,1,1
10959,0.536181575433912,1,1
10959,0.529536155734528,1,1
10959,0.515483009604203,1,1
10959,0.497896119557259,1,1
10959,0.53129333735303,1,1
10959,0.499769585253456,1,1
10959,0.537079546922779,1,1
10959,0.501729187303501,1,1
10959,0.50478702786511,1,1
10959,0.508120504759034,1,1
10959,0.504009647271631,1,1
10959,0.522376071320901,1,1
10959,0.51895645807313,1,1
10959,0.518418105861579,1,1
10959,0.524342133597485,1,1
10959,0.518138162711572,1,1
10959,0.504578147207029,1,1
10959,0.527608854817176,1,1
10959,0.548832852405358,1,1
10959,0.504582454024721,1,1
10959,0.506061845902063,1,1
10959,0.493765881390241,1,1
10959,0.51309703260261,1,1
10959,0.521183082820104,1,1
10959,0.49468538696757,1,1
10959,0.52871786037297,1,1
10959,0.533259399629614,1,1
10959,0.515455015289203,1,1
10959,0.531476377104957,1,1
10959,0.514386924501486,1,1
10959,0.513622464361084,1,1
10959,0.533761143890779,1,1
10959,0.532525087213058,1,1
10959,0.524598389250183,1,1
10959,0.492551358800982,1,1
10959,0.511962186140661,1,1
10959,0.512754640596064,1,1
10959,0.523756406391317,1,1
10959,0.510857487402558,1,1
10959,0.519384986433524,1,1
10959,0.510127481803695,1,1
10959,0.493638830268315,1,1
10959,0.524387355183255,1,1
10959,0.495294801671045,1,1
10959,0.498537835393428,1,1
10959,0.518885395581205,1,1
10959,0.495032085791808,1,1
10959,0.509477152332142,1,1
10959,0.505650544812438,1,1
10959,0.51538825961497,1,1
10959,0.520560747663551,1,1
10959,0.533171109866919,1,1
10959,0.483468280287695,1,1
10959,0.515175072139196,1,1
10959,0.536162194754296,1,1
10959,0.491330375985185,1,1
10959,0.526269434514837,1,1
11129,0.537984261501211,0,1
11129,0.56068401937046,1,1
11129,0.476240920096852,1,1
11129,0.542372881355932,1,1
11129,0.574152542372881,1,1
11129,0.491071428571429,1,1
11129,0.465799031476998,1,1
