"Study_ID","AUC","Permutation","DEBIAS"
14130,0.579166666666667,0,0
14130,0.46875,1,0
14130,0.570833333333333,1,0
14130,0.620833333333333,1,0
14130,0.629166666666667,1,0
14130,0.570833333333333,1,0
14130,0.5125,1,0
14130,0.497916666666667,1,0
14130,0.652083333333333,1,0
14130,0.666666666666667,1,0
14130,0.545833333333333,1,0
14130,0.620833333333333,1,0
14130,0.48125,1,0
14130,0.525,1,0
14130,0.545833333333333,1,0
14130,0.535416666666667,1,0
14130,0.691666666666667,1,0
14130,0.570833333333333,1,0
14130,0.585416666666667,1,0
14130,0.6625,1,0
14130,0.55,1,0
14130,0.5875,1,0
14130,0.479166666666667,1,0
14130,0.485416666666667,1,0
14130,0.533333333333333,1,0
14130,0.51875,1,0
14130,0.54375,1,0
14130,0.645833333333333,1,0
14130,0.53125,1,0
14130,0.572916666666667,1,0
14130,0.489583333333333,1,0
14130,0.585416666666667,1,0
14130,0.7,1,0
14130,0.60625,1,0
14130,0.497916666666667,1,0
14130,0.489583333333333,1,0
14130,0.625,1,0
14130,0.4875,1,0
14130,0.647916666666667,1,0
14130,0.80625,1,0
14130,0.585416666666667,1,0
14130,0.520833333333333,1,0
14130,0.575,1,0
14130,0.610416666666667,1,0
14130,0.714583333333333,1,0
14130,0.677083333333333,1,0
14130,0.477083333333333,1,0
14130,0.4375,1,0
14130,0.570833333333333,1,0
14130,0.570833333333333,1,0
14130,0.535416666666667,1,0
14130,0.552083333333333,1,0
14130,0.58125,1,0
14130,0.533333333333333,1,0
14130,0.639583333333333,1,0
14130,0.635416666666667,1,0
14130,0.529166666666667,1,0
14130,0.395833333333333,1,0
14130,0.539583333333333,1,0
14130,0.7375,1,0
14130,0.458333333333333,1,0
14130,0.622916666666667,1,0
14130,0.447916666666667,1,0
14130,0.566666666666667,1,0
14130,0.625,1,0
14130,0.5625,1,0
14130,0.527083333333333,1,0
14130,0.489583333333333,1,0
14130,0.6,1,0
14130,0.552083333333333,1,0
14130,0.522916666666667,1,0
14130,0.5125,1,0
14130,0.610416666666667,1,0
14130,0.597916666666667,1,0
14130,0.604166666666667,1,0
14130,0.539583333333333,1,0
14130,0.622916666666667,1,0
14130,0.554166666666667,1,0
14130,0.485416666666667,1,0
14130,0.552083333333333,1,0
14130,0.597916666666667,1,0
14130,0.622916666666667,1,0
14130,0.5625,1,0
14130,0.670833333333333,1,0
14130,0.495833333333333,1,0
14130,0.577083333333333,1,0
14130,0.614583333333333,1,0
14130,0.50625,1,0
14130,0.610416666666667,1,0
14130,0.55,1,0
14130,0.525,1,0
14130,0.68125,1,0
14130,0.589583333333333,1,0
14130,0.602083333333333,1,0
14130,0.658333333333333,1,0
14130,0.68125,1,0
14130,0.614583333333333,1,0
14130,0.572916666666667,1,0
14130,0.6625,1,0
14130,0.73125,1,0
14130,0.741666666666667,1,0
