"Study_ID","AUC","Permutation","DEBIAS"
14130,0.870833333333333,0,1
14130,0.504166666666667,1,1
14130,0.572916666666667,1,1
14130,0.685416666666667,1,1
14130,0.59375,1,1
14130,0.51875,1,1
14130,0.54375,1,1
14130,0.51875,1,1
14130,0.577083333333333,1,1
14130,0.65,1,1
14130,0.591666666666667,1,1
14130,0.541666666666667,1,1
14130,0.541666666666667,1,1
14130,0.577083333333333,1,1
14130,0.5,1,1
14130,0.5875,1,1
14130,0.5625,1,1
14130,0.683333333333333,1,1
14130,0.641666666666667,1,1
14130,0.435416666666667,1,1
14130,0.63125,1,1
14130,0.647916666666667,1,1
14130,0.402083333333333,1,1
14130,0.5,1,1
14130,0.525,1,1
14130,0.672916666666667,1,1
14130,0.560416666666667,1,1
14130,0.479166666666667,1,1
14130,0.504166666666667,1,1
14130,0.564583333333333,1,1
14130,0.579166666666667,1,1
14130,0.483333333333333,1,1
14130,0.6625,1,1
14130,0.50625,1,1
14130,0.4625,1,1
14130,0.50625,1,1
14130,0.59375,1,1
14130,0.566666666666667,1,1
14130,0.429166666666667,1,1
14130,0.5375,1,1
14130,0.5625,1,1
14130,0.522916666666667,1,1
14130,0.745833333333333,1,1
14130,0.591666666666667,1,1
14130,0.608333333333333,1,1
14130,0.591666666666667,1,1
14130,0.595833333333333,1,1
14130,0.4875,1,1
14130,0.55625,1,1
14130,0.479166666666667,1,1
14130,0.810416666666667,1,1
14130,0.472916666666667,1,1
14130,0.585416666666667,1,1
14130,0.652083333333333,1,1
14130,0.54375,1,1
14130,0.597916666666667,1,1
14130,0.54375,1,1
14130,0.7,1,1
14130,0.720833333333333,1,1
14130,0.529166666666667,1,1
14130,0.59375,1,1
14130,0.583333333333333,1,1
14130,0.5875,1,1
14130,0.51875,1,1
14130,0.572916666666667,1,1
14130,0.666666666666667,1,1
14130,0.558333333333333,1,1
14130,0.68125,1,1
14130,0.545833333333333,1,1
14130,0.7,1,1
14130,0.533333333333333,1,1
14130,0.572916666666667,1,1
14130,0.43125,1,1
14130,0.60625,1,1
14130,0.566666666666667,1,1
14130,0.65625,1,1
14130,0.595833333333333,1,1
14130,0.622916666666667,1,1
14130,0.6875,1,1
14130,0.675,1,1
14130,0.610416666666667,1,1
14130,0.68125,1,1
14130,0.566666666666667,1,1
14130,0.54375,1,1
14130,0.697916666666667,1,1
14130,0.560416666666667,1,1
14130,0.514583333333333,1,1
14130,0.589583333333333,1,1
14130,0.483333333333333,1,1
14130,0.535416666666667,1,1
14130,0.658333333333333,1,1
14130,0.589583333333333,1,1
14130,0.510416666666667,1,1
14130,0.589583333333333,1,1
14130,0.575,1,1
14130,0.53125,1,1
14130,0.560416666666667,1,1
14130,0.620833333333333,1,1
14130,0.577083333333333,1,1
14130,0.545833333333333,1,1
14130,0.589583333333333,1,1
