"DEBIAS","pval"
"1",0.122163340534421
"1",0.510765065560629
"1",0.184473679084625
"1",0.00230229396789329
"1",7.57008379617428e-10
"1",0.256412978058583
"1",0.475464998654517
"1",0.0620664183343713
"1",0.00189567221252587
"1",0.396794526951616
"1",0.0593259922571337
"1",0.0442958843810983
"1",2.67103093619956e-05
"1",0.866581604602347
"1",0.496368066593216
"0.5",2.14797350979785e-21
"0.5",0.29617758347287
"0.5",3.39741535916315e-06
"0.5",0.00523214787159684
"0.5",1.54790524012694e-12
"0.5",8.74604193134077e-08
"0.5",0.0325625421522283
"0.5",2.91426143833038e-05
"0.5",0.0047206585816911
"0.5",6.48445756848015e-08
"0.5",1.49110502450322e-05
"0.5",0.00446588518803123
"0.5",3.43311114276425e-07
"0.5",0.458829449741111
"0.5",0.160775716798388
