"Study_ID","AUC","Permutation","DEBIAS"
13652,0.629256965944272,0,1
13652,0.557120743034056,1,1
13652,0.520201238390093,1,1
13652,0.520665634674923,1,1
13652,0.500928792569659,1,1
13652,0.521207430340557,1,1
13652,0.493421052631579,1,1
13652,0.5671826625387,1,1
13652,0.471749226006192,1,1
13652,0.507198142414861,1,1
13652,0.480882352941176,1,1
13652,0.5203173374613,1,1
13652,0.552283281733746,1,1
13652,0.519117647058824,1,1
13652,0.480495356037152,1,1
13652,0.498258513931889,1,1
13652,0.554566563467492,1,1
13652,0.495239938080495,1,1
13652,0.521130030959752,1,1
13652,0.520588235294118,1,1
13652,0.525851393188854,1,1
13652,0.562848297213622,1,1
13652,0.52906346749226,1,1
13652,0.493614551083591,1,1
13652,0.526780185758514,1,1
13652,0.50437306501548,1,1
13652,0.540982972136223,1,1
13652,0.476160990712074,1,1
13652,0.508784829721362,1,1
13652,0.520859133126935,1,1
13652,0.542763157894737,1,1
13652,0.539628482972136,1,1
13652,0.512074303405573,1,1
13652,0.550232198142415,1,1
13652,0.518382352941177,1,1
13652,0.523142414860681,1,1
13652,0.52140092879257,1,1
13652,0.595394736842105,1,1
13652,0.517956656346749,1,1
13652,0.498606811145511,1,1
13652,0.512693498452012,1,1
13652,0.475,1,1
13652,0.537306501547988,1,1
13652,0.526354489164087,1,1
13652,0.555263157894737,1,1
13652,0.539357585139319,1,1
13652,0.574032507739938,1,1
13652,0.540015479876161,1,1
13652,0.517569659442724,1,1
13652,0.497445820433437,1,1
13652,0.492143962848297,1,1
13652,0.498181114551084,1,1
13652,0.497252321981424,1,1
13652,0.512770897832817,1,1
13652,0.528212074303406,1,1
13652,0.51311919504644,1,1
13652,0.523413312693498,1,1
13652,0.562577399380805,1,1
13652,0.540750773993808,1,1
13652,0.503637770897833,1,1
13652,0.505030959752322,1,1
13652,0.507623839009288,1,1
13652,0.506191950464396,1,1
13652,0.513003095975232,1,1
13652,0.499032507739938,1,1
13652,0.514512383900929,1,1
13652,0.523761609907121,1,1
13652,0.531578947368421,1,1
13652,0.51234520123839,1,1
13652,0.490479876160991,1,1
13652,0.490479876160991,1,1
13652,0.519349845201238,1,1
13652,0.481385448916409,1,1
13652,0.507082043343653,1,1
13652,0.55828173374613,1,1
13652,0.490363777089783,1,1
13652,0.580147058823529,1,1
13652,0.589164086687306,1,1
13652,0.540479876160991,1,1
13652,0.50030959752322,1,1
13652,0.497794117647059,1,1
13652,0.542763157894737,1,1
13652,0.546942724458204,1,1
13652,0.516524767801858,1,1
13652,0.500657894736842,1,1
13652,0.570704334365325,1,1
13652,0.541834365325077,1,1
13652,0.564512383900929,1,1
13652,0.563003095975232,1,1
13652,0.47530959752322,1,1
13652,0.494504643962848,1,1
13652,0.502205882352941,1,1
13652,0.527670278637771,1,1
13652,0.535371517027864,1,1
13652,0.549613003095975,1,1
13652,0.519311145510836,1,1
13652,0.495859133126935,1,1
13652,0.522291021671827,1,1
13652,0.521865325077399,1,1
13652,0.515208978328173,1,1
13652,0.474922600619195,1,1
