"Study_ID","AUC","Permutation","DEBIAS"
11129,0.514073849878935,0,1
11129,0.620308716707022,1,1
11129,0.60956416464891,1,1
11129,0.51452784503632,1,1
11129,0.529509685230024,1,1
11129,0.55977602905569,1,1
11129,0.534654963680387,1,1
11129,0.540254237288136,1,1
11129,0.464739709443099,1,1
11129,0.573244552058111,1,1
11129,0.538438256658596,1,1
11129,0.528601694915254,1,1
11129,0.538740920096852,1,1
11129,0.534352300242131,1,1
11129,0.49909200968523,1,1
11129,0.474576271186441,1,1
11129,0.520127118644068,1,1
11129,0.547669491525424,1,1
11129,0.504085956416465,1,1
11129,0.497427360774818,1,1
11129,0.513771186440678,1,1
11129,0.533141646489104,1,1
11129,0.514225181598063,1,1
11129,0.529207021791768,1,1
11129,0.518765133171913,1,1
11129,0.559019370460048,1,1
11129,0.495006053268765,1,1
11129,0.523153753026634,1,1
11129,0.539043583535109,1,1
11129,0.576876513317191,1,1
11129,0.585956416464891,1,1
11129,0.527693704600484,1,1
11129,0.584594430992736,1,1
11129,0.536622276029056,1,1
11129,0.551906779661017,1,1
11129,0.590496368038741,1,1
11129,0.544794188861985,1,1
11129,0.517403147699758,1,1
11129,0.504993946731235,1,1
11129,0.541616222760291,1,1
11129,0.546912832929782,1,1
11129,0.51180387409201,1,1
11129,0.481991525423729,1,1
11129,0.531930992736077,1,1
11129,0.594279661016949,1,1
11129,0.541464891041162,1,1
11129,0.494249394673124,1,1
11129,0.580205811138015,1,1
11129,0.512863196125908,1,1
11129,0.496519370460048,1,1
11129,0.528147699757869,1,1
11129,0.532838983050847,1,1
11129,0.513771186440678,1,1
11129,0.54524818401937,1,1
11129,0.503329297820823,1,1
11129,0.527996368038741,1,1
11129,0.525272397094431,1,1
11129,0.54797215496368,1,1
11129,0.57430387409201,1,1
11129,0.472457627118644,1,1
11129,0.566888619854721,1,1
11129,0.561440677966102,1,1
11129,0.531174334140436,1,1
11129,0.522397094430993,1,1
11129,0.54888014527845,1,1
11129,0.533141646489104,1,1
11129,0.589739709443099,1,1
11129,0.528450363196126,1,1
11129,0.548577481840194,1,1
11129,0.531628329297821,1,1
11129,0.579903147699758,1,1
11129,0.50453995157385,1,1
11129,0.602905569007264,1,1
11129,0.518159806295399,1,1
11129,0.505901937046005,1,1
11129,0.547820823244552,1,1
11129,0.558565375302663,1,1
11129,0.490768765133172,1,1
11129,0.508777239709443,1,1
11129,0.497881355932203,1,1
11129,0.50453995157385,1,1
11129,0.544794188861985,1,1
11129,0.515587167070218,1,1
11129,0.572336561743341,1,1
11129,0.521186440677966,1,1
11129,0.531779661016949,1,1
11129,0.528147699757869,1,1
11129,0.578541162227603,1,1
11129,0.593523002421308,1,1
11129,0.583837772397094,1,1
11129,0.616676755447942,1,1
11129,0.565829297820823,1,1
11129,0.544340193704601,1,1
11129,0.530266343825666,1,1
11129,0.624848668280872,1,1
11129,0.611531476997579,1,1
11129,0.531174334140436,1,1
11129,0.577784503631961,1,1
11129,0.592161016949153,1,1
11129,0.543886198547216,1,1
11129,0.586259079903148,1,1
