"Study_ID","AUC","Permutation","DEBIAS"
10959,0.593864938197166,0,0
10959,0.533128041689995,1,0
10959,0.518648520608123,1,0
10959,0.510711055601016,1,0
10959,0.492473836082519,1,0
10959,0.506561436754382,1,0
10959,0.530729144235324,1,0
10959,0.494360222231793,1,0
10959,0.497506352556096,1,0
10959,0.518187691115035,1,0
10959,0.511079288513717,1,0
10959,0.519680003445454,1,0
10959,0.509136913734442,1,0
10959,0.536969723071622,1,0
10959,0.521073258968948,1,0
10959,0.519051208062363,1,0
10959,0.4906692794694,1,0
10959,0.48939876825014,1,0
10959,0.497713079805332,1,0
10959,0.519458202334295,1,0
10959,0.565026486928808,1,0
10959,0.494670313105646,1,0
10959,0.495441233472587,1,0
10959,0.520565054481244,1,0
10959,0.512280890649899,1,0
10959,0.506580817433998,1,0
10959,0.504119471122787,1,0
10959,0.527931866144106,1,0
10959,0.531689564580731,1,0
10959,0.496207847021836,1,0
10959,0.5253542357552,1,0
10959,0.521534088462035,1,0
10959,0.522752917868987,1,0
10959,0.51824152633619,1,0
10959,0.512690038330677,1,0
10959,0.518639906972738,1,0
10959,0.483802058658857,1,0
10959,0.49818467634265,1,0
10959,0.503988113183169,1,0
10959,0.509005555794823,1,0
10959,0.518896162625436,1,0
10959,0.503589732546621,1,0
10959,0.519494810284681,1,0
10959,0.505715147077824,1,0
10959,0.515627287996899,1,0
10959,0.522944571256299,1,0
10959,0.501630130496576,1,0
10959,0.525623411860976,1,0
10959,0.517866833196951,1,0
10959,0.520931133985098,1,0
10959,0.521006503294716,1,0
10959,0.525408070976356,1,0
10959,0.546343511779146,1,0
10959,0.525483440285973,1,0
10959,0.508137732029803,1,0
10959,0.531226581678798,1,0
10959,0.521101253283949,1,0
10959,0.527003746931392,1,0
10959,0.507819027520565,1,0
10959,0.508514578577889,1,0
10959,0.512959214436453,1,0
10959,0.503839527972781,1,0
10959,0.513381282570309,1,0
10959,0.493662517765623,1,0
10959,0.496429648132995,1,0
10959,0.489446143244756,1,0
10959,0.510969464662561,1,0
10959,0.512203367931436,1,0
10959,0.515334424393815,1,0
10959,0.474794349455188,1,0
10959,0.520853611266635,1,0
10959,0.50027778974116,1,0
10959,0.508686851285585,1,0
10959,0.513202549636074,1,0
10959,0.508030061587493,1,0
10959,0.512205521340282,1,0
10959,0.5006524828804,1,0
10959,0.521949696369353,1,0
10959,0.531605581635729,1,0
10959,0.545327102803738,1,0
10959,0.491543563460959,1,0
10959,0.503137516688919,1,0
10959,0.511630561178345,1,0
10959,0.534689263103493,1,0
10959,0.546050648176063,1,0
10959,0.506126448167449,1,0
10959,0.54009647271631,1,0
10959,0.507504629829019,1,0
10959,0.511770532753349,1,0
10959,0.505066971015117,1,0
10959,0.509533140962143,1,0
10959,0.496772040139541,1,0
10959,0.568471941082734,1,0
10959,0.523674576855162,1,0
10959,0.516779361729618,1,0
10959,0.518952151255437,1,0
10959,0.529204530772212,1,0
10959,0.531482837331496,1,0
10959,0.528808303544511,1,0
10959,0.518883242172359,1,0
10959,0.519225634178905,1,0
